placeID,Latitude,Longitude,Start date,End Date,Nights.active,Excluded?,Notes
1,51.434855, -0.327128,10/10/2022,25/10/2022,15,,
2,51.438978,-0.329352,10/10/2022,25/10/2022,15,,
3,51.44298,-0.328068,10/10/2022,25/10/2022,15,,
4,51.444968,-0.322509,10/10/2022,25/10/2022,15,,
5,51.445198,-0.319099,10/10/2022,25/10/2022,15,,
6,51.445342,-0.316094,10/10/2022,25/10/2022,15,,
7,51.445561,-0.313331,10/10/2022,25/10/2022,15,,
8,51.4467756,-0.3105408,,,,Yes,no data
9,51.44793,-0.305905,10/10/2022,25/10/2022,15,,
10,51.442678,-0.30718,10/10/2022,25/10/2022,15,,
11,51.442484,-0.312659,10/10/2022,25/10/2022,15,,
12,51.442053,-0.309088,10/10/2022,25/10/2022,15,,
13,51.440487,-0.311529,10/10/2022,25/10/2022,15,,
14,51.443441,-0.308507,10/10/2022,25/10/2022,15,,
15,51.444412,-0.305718,,,,Yes,no data
16,51.447488,-0.298432,10/10/2022,25/10/2022,15,,
17,51.448304,-0.298224,10/10/2022,25/10/2022,15,,
18,51.449807,-0.298705,10/10/2022,25/10/2022,15,,
19,51.449194,-0.297426,10/10/2022,25/10/2022,15,,
20,51.451295,-0.297605,10/10/2022,25/10/2022,15,,
