placeID,Start date,End date,Nights.active,Latitude,Longitude,Excluded?,Notes
1,20/07/2022,09/08/2022,20,51.473606,-0.231352,,
2,21/07/2022,08/08/2022,18,51.47475438,-0.232868928,,
3,21/07/2022,08/08/2022,18,51.474687,-0.231508,,
4,21/07/2022,08/08/2022,18,51.47475438,-0.229867647,,
5,21/07/2022,08/08/2022,18,51.47569149,-0.232868928,,
6,,,0,51.474407,-0.230869,yes,no data
7,,,,,,,not placed
8,21/07/2022,08/08/2022,18,51.475052,-0.233794,,
9,21/07/2022,08/08/2022,18,51.475499,-0.233633,,
10,21/07/2022,08/08/2022,18,51.47421,-0.231016,,
11,20/07/2022,09/08/2022,20,51.473957,-0.231352,,
12,20/07/2022,09/08/2022,20,51.47427,-0.23253,,
13,21/07/2022,28/07/2022,7,51.474592,-0.233092,,
