placeID,Longitude,Latitude,Start.date,End.date,Nights.active,Excluded,Notes
1,-0.323989392,51.43274315,12/04/2022,04/05/2022,22,,
2,-0.319059369,51.43274315,12/04/2022,02/05/2022,20,,
3,-0.299339275,51.43274315,12/04/2022,04/05/2022,22,,
4,-0.294409252,51.43274315,12/04/2022,04/05/2022,22,,
5,-0.323989392,51.43582384,12/04/2022,04/05/2022,22,,
6,-0.294409252,51.43582384,12/04/2022,04/05/2022,22,,
7,-0.329236,51.438986,19/04/2022,19/04/2022,1,,
8,-0.323989392,51.43890452,,,,Yes,
9,-0.328919416,51.44198521,19/04/2022,04/05/2022,15,,
10,-0.323989392,51.44198521,,,,Yes,
11,,,,,,,Not placed
12,-0.319059369,51.44506589,,,,Yes,
13,-0.294296,51.431113,,,,Yes,
14,-0.296328,51.435044,12/04/2022,26/04/2022,14,,
15,-0.327155,51.436493,27/04/2022,04/05/2022,7,,
