placeID,Latitude,Longitude,Start date,End Date,Nights.active,Excluded?,Notes
1,51.46155,-0.314598,09/08/2022,01/09/2022,23,,
2,51.460936,-0.3128797,09/08/2022,01/09/2022,23,,
3,51.466361,-0.319442,09/08/2022,01/09/2022,23,,
4,51.461854,-0.311932,,,0,Yes,no data 
5,51.462107,-0.315496,09/08/2022,01/09/2022,23,,
6,51.4626434,-0.309696,09/08/2022,01/09/2022,23,,
7,51.463502,-0.316663,,,0,Yes,no data (camera stopped taking pictures)
8,51.462745,-0.309306,09/08/2022,01/09/2022,23,,
9,51.46318,-0.30809,09/08/2022,16/08/2022,7,,
10,51.46474,-0.319588,09/08/2022,01/09/2022,23,,
11,51.463605,-0.317413,09/08/2022,01/09/2022,23,,
12,51.469932,-0.31846,09/08/2022,01/09/2022,23,,
13,51.471819,-0.314351,09/08/2022,01/09/2022,23,,
14,51.473237,-0.310742,09/08/2022,01/09/2022,23,,
